start,bh,br_bh,ro,br_ro
2006-01-03,0.22158921646734875,0,0.242885614207889,0
2006-07-03,0.535695139085635,0,0.51461636401683,0
2007-01-03,0.18796097095978226,0,0.6033999431891408,0
2007-07-03,0.028156619818113127,0,-0.02846258289021164,0
2008-01-03,-0.4790518406718506,1,-0.34112580494850264,1
2008-07-03,-0.12218117095624048,1,-0.17099639219164764,1
2009-01-03,-0.005083047366773341,0,0.24390763046690256,0
2009-07-03,0.18308802996660356,0,0.10170341906958447,0
2010-01-03,0.12854498879319554,0,0.0928000516178824,0
2010-07-03,0.3733749127909265,0,0.4187212083335483,0
2011-01-03,0.08046189991275887,0,-0.035840118179017555,0
2011-07-03,0.040043835376796455,0,-0.109019271389308,1
2012-01-03,0.054245529762985134,0,0.12058272656402336,0
2012-07-03,0.11257744362726019,0,0.17665150346837333,0
2013-01-03,0.3516170827862779,0,0.19965429848803762,0
2013-07-03,0.16713425111159008,0,0.18491975017336215,0
2014-01-03,0.12974182220676012,0,0.10236753082903993,0
2014-07-03,0.16316764044491183,0,0.09416092805910692,0
2015-01-03,0.22481965992900288,0,0.1821565277484405,0
2015-07-03,0.13096904077129956,0,0.26540430003509297,0
2016-01-03,0.5048068640544123,0,0.38779755725425225,0
2016-07-03,0.5979813917063148,0,0.3915847655065212,0
2017-01-03,0.44809883600641687,0,0.4141748651981927,0
2017-07-03,0.3535792190958569,0,0.40968370605136384,0
2018-01-03,-0.07203991661608544,0,-0.11050981219631573,1
2018-07-03,0.12412732733384257,0,0.007973644034393601,0
2019-01-03,0.26563559422349714,0,0.20814732610756947,0
2019-07-03,0.051543540966238144,0,0.0027831482682185715,0
2020-01-03,0.45405381542401635,0,0.2294798561793785,0
2020-07-03,0.48867335621009733,0,0.40705432747382186,0
2021-01-03,0.5670810635374706,0,0.43252657183169574,0
2021-07-03,-0.07502564417045321,0,-0.005642326639564987,0
2022-01-03,-0.1263647528801004,1,-0.053667953782386646,0
2022-07-03,0.08336526102342656,0,0.31641555497222673,0
2023-01-03,0.02868796150824071,0,0.274723095220057,0
2023-07-03,0.5999065803428985,0,0.6156876319945512,0
2024-01-03,0.5054443553373091,0,0.5091835700026828,0
2024-07-03,0.20558677648812695,0,0.08084124197126408,0
2025-01-03,0.22066712297966729,0,0.12650982563487,0
