start,cum_e,br_e,al_e,be_e,cum_b,br_b,al_b,be_b
2006-01-03,0.19571575478144276,False,0.06569389001486961,0.8588639923049696,0.1803657979402271,False,0.0659287461589243,0.7377360988348104
2006-07-03,0.23510710519791722,False,0.04900357990190493,0.8096535850739828,0.16546114137684342,False,0.0015228737081229996,0.7455063705023486
2007-01-03,0.14384098370022858,False,0.0936631771473448,0.7685600095272056,0.16644425464775137,False,0.11421836539202904,0.6851844475076168
2007-07-03,-0.05911999403635193,False,0.04542694197022049,0.7038009969833031,0.06909657855272067,False,0.13191550141492864,0.4934102980824944
2008-01-03,-0.2676377576542477,True,-0.06480900752106525,0.6473698677361742,-0.1814724087004731,True,-0.04134390338417443,0.45289255061026434
2008-07-03,-0.19697691501551096,True,-0.02945347222219589,0.6851783353100467,-0.14077144603246383,True,-0.033634928265714056,0.4858156933257083
2009-01-03,0.3352260642188267,False,0.11321013597509275,0.8337118790187191,0.2966006626109179,False,0.11556626651804745,0.6299672684120299
2009-07-03,0.284690223196467,False,0.11007112223723783,0.9441100403468149,0.2631201773104035,False,0.11547874615052965,0.7368889730827544
2010-01-03,0.22351212185291858,False,0.08104972222880424,0.8665632857560531,0.19613847119433458,False,0.08308289967100277,0.6146027023906723
2010-07-03,0.3489038400121587,False,0.047326082102488426,0.8752567493306335,0.2654580621491154,False,0.04750356391023014,0.618669413182872
2011-01-03,0.04454870516949527,False,0.013969579683451978,0.7584254250501895,0.04761363279512887,False,0.015055357723440826,0.4727976343494038
2011-07-03,0.02144324627547567,False,-0.02606720439540134,0.7433006575264182,0.029354451739976417,False,-0.013213071662371215,0.46862230113908065
2012-01-03,0.13794017027826033,False,0.002103041265057559,0.7673926995461362,0.10328608823526153,False,-0.0021947528940769335,0.5533938099200647
2012-07-03,0.17495484990472776,False,0.011072777786020279,0.7867758361147495,0.010931269833483359,False,-0.10999352621405117,0.5879776693964619
2013-01-03,0.22447557320913192,False,-0.004201139181662344,0.8135932158431725,0.010049671068715682,False,-0.1560190007167306,0.6285706231619266
2013-07-03,0.22074947084122032,False,0.01656688606949563,0.7814391304762418,0.13219323318126408,False,0.0025439384527005016,0.4711375085973931
2014-01-03,0.12932598285369523,False,0.013628284294710013,0.7356242248330485,0.0727872737298334,False,0.0004123449565862405,0.37471622090463
2014-07-03,0.04107760902101343,False,-0.01632513187263248,0.7537214882345287,-0.013994673294445259,False,-0.05929344744781637,0.4236025936927836
2015-01-03,0.023423539920344627,False,-0.009128686667946657,0.7246395691847576,-0.03497319182630476,False,-0.06808468130328856,0.4481873086916637
2015-07-03,0.1133386856277312,False,0.07102834806616982,0.6737777218326557,0.09363856914652402,False,0.055422102421289275,0.37743048685049324
2016-01-03,0.1747035989176733,False,0.059675473933121906,0.6736359785639594,0.11194467209878645,False,0.038221921923715624,0.3604806747265537
2016-07-03,0.13206547421204506,False,-0.012172057679596815,0.7583119553965424,0.05065503474183197,False,-0.04845253620141301,0.4843647263512996
2017-01-03,0.2109638134934939,False,0.0480486945935211,0.6594599494579867,0.1624572851012327,False,0.06415765434410493,0.32900714000616593
2017-07-03,0.0778973265654197,False,-0.030699130212021097,0.7516138890816,0.04526780639675754,False,-0.03244187355124417,0.4537269800895151
2018-01-03,-0.12273500034187457,True,-0.08504136064492532,0.685437808522964,-0.07420266906889306,False,-0.06538182233166333,0.3922041379010714
2018-07-03,0.08641730091515787,False,-0.007117272574503707,0.6765786979324737,0.09063569658163528,False,0.02313027005357732,0.36670477885272046
2019-01-03,0.2692785552682093,False,0.018333775640421126,0.7136878885136348,0.20962119505203392,False,0.06513349672364607,0.3544661080655889
2019-07-03,-0.07597043283966887,False,-0.14091867568892766,0.7365643996590315,0.031925489274621466,False,-0.024556124256592943,0.4486794963171317
2020-01-03,0.00610034004554616,False,-0.12897534260098176,0.7221716871090018,0.07808513330840716,False,-0.028593329755874287,0.4583008910845335
2020-07-03,0.32420393419384097,False,0.07235066162565029,0.6094913975794173,0.1862051610791784,False,-0.0032838610278135743,0.4800409358942269
2021-01-03,0.18282764668593265,False,-0.01551591589301312,0.6400568942603754,0.0926908299243776,False,-0.056206815921119764,0.4713753130087578
2021-07-03,-0.07735843359851136,False,-0.03648347439993574,0.5306307291862399,-0.07290801478160325,False,-0.06026786689208994,0.3372570595444224
2022-01-03,-0.03480789804420703,False,0.06304135785234265,0.5479898520077294,-0.07339439923981139,False,-0.015959564480151383,0.39362500652334187
2022-07-03,0.14249469923568947,False,0.010975756876144124,0.6687962485824418,0.06899024138446097,False,-0.031630008810993024,0.48221477813008207
2023-01-03,0.10570093761290389,False,-0.055561723964199304,0.654808268486272,0.08821229698280875,False,-0.03213762957440179,0.44838278608756305
2023-07-03,0.15067328220986997,False,-0.0006279727673818237,0.5571158657778837,0.12875311183298455,False,-0.0059356691120668655,0.4850619232674793
2024-01-03,0.13248047047294498,False,-0.010177713572522054,0.48757568182510863,0.13635711650053017,False,0.012629509493430006,0.3960427734268275
2024-07-03,0.19429963293943775,False,0.09474013019792647,0.48202498640721997,0.20531301229501464,False,0.12279917388759029,0.31101096114919974
2025-01-03,0.25927168136844325,False,0.13968151522067113,0.4903005539982706,0.29621111607640693,False,0.1923650277451802,0.3107323666500012
