start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1,cumH,brH
2006-01-03,0.23510503751423295,0.23528368047362536,False,0.23510503751423295,False,0.0,0.046530882769338366,1.535923167052566,0.10481113969604294,0
2006-07-03,0.6374670883643296,0.638020276210139,False,0.6374670883643296,False,0.0,0.2566739978332343,1.3421613131033951,0.13718775415935602,0
2007-01-03,0.1879611826935268,0.18810133664997863,False,0.1879611826935268,False,0.0,0.13805064259176475,1.1026343006400758,0.23156784187185186,0
2007-07-03,0.028156704176332648,0.028098202899665026,False,0.028156704176332648,False,0.0,0.2395973224111238,1.119462164425716,0.348435453639121,0
2008-01-03,-0.4790518315551273,-0.4792844595746929,True,-0.4790518315551273,True,0.0,-0.165050999442321,1.0708672210627395,0.0625819091648987,0
2008-07-03,-0.14676396468890418,-0.14722889573129105,True,-0.14676396468890418,True,0.0,0.05164030906423595,0.733453858622462,0.11720345934916154,0
2010-01-03,0.1285449387268376,0.12901369665287876,False,0.1285449387268376,False,0.0,-0.02520123519377456,1.233524512131184,0.10576683439812662,0
2010-07-03,0.4015956849013451,0.40851345575014686,False,0.4015956849013451,False,0.0,0.05564776486988305,1.0085268475963516,0.06574232717217843,0
2011-01-03,0.1203667769720349,0.12045399716888916,False,0.1203667769720349,False,0.0,0.09075534778369336,0.854533226519889,0.14319851711630016,0
2011-07-03,0.040043830663843316,0.04018407051749562,False,0.040043830663843316,False,0.0,-0.0027774547629530614,1.025817510164425,0.080283908984909,0
2012-01-03,0.11785458768280832,0.11759940854522521,False,0.11785458768280832,False,0.0,-0.019149298262387166,0.8174315231386741,0.06649601433163022,0
2012-07-03,0.116634789532291,0.11671916710564734,False,0.116634789532291,False,0.0,-0.055261518051942043,0.9018178935314597,0.03500535543061156,0
2013-01-03,0.35161718038452605,0.3518961438751693,False,0.35161718038452605,False,0.0,0.04479624051371198,1.0590527430976457,-0.1506236909894456,1
2013-07-03,0.16713409551204195,0.16725765139179094,False,0.16713409551204195,False,0.0,-0.09065126380654752,1.1175222142403913,-0.2943281864019176,1
2014-01-03,0.1297419640402906,0.1302153337275509,False,0.1297419640402906,False,0.0,-0.029004346877058506,1.1845387384883372,-0.015687591564406356,0
2014-07-03,0.16316758387924235,0.16377148112577822,False,0.16316758387924235,False,0.0,0.08851189637486157,1.089134928872882,0.20767423636058457,0
2015-01-03,0.22481949260022294,0.22844714136164268,False,0.22481949260022294,False,0.0,0.18097485561356846,1.129010127750226,0.25745986697415346,0
2015-07-03,0.13096906059404767,0.13260895697502506,False,0.13096906059404767,False,0.0,0.09208217774212377,0.9954773418776096,0.16950633674177773,0
2016-01-03,0.5048070175590313,0.5052282829878019,False,0.5048070175590313,False,0.0,0.29124901305890727,0.9677079701731529,0.40596517056990544,0
2016-07-03,0.5979812429641977,0.6026308009757133,False,0.5979812429641977,False,0.0,0.3011874559019094,1.0845793019424412,0.4348247348396297,0
2017-01-03,0.44809907272452043,0.44846635296495574,False,0.44809907272452043,False,0.0,0.08619197769443965,1.516375941741968,0.10378571775771928,0
2017-07-03,0.3535792758298746,0.35385998943627817,False,0.3535792758298746,False,0.0,0.14093346852840652,1.4014355010752129,0.05232197858769738,0
2018-01-03,-0.07204006045294775,-0.07208758013824801,False,-0.07204006045294775,False,0.0,0.054242466257404975,1.2976595213380486,0.01943001013629253,0
2018-07-03,0.12412702974930845,0.1242171227172797,False,0.12412702974930845,False,0.0,-0.032318157016149734,1.5549217797537085,0.08544042194163781,0
2019-01-03,0.26811040556108545,0.268316731680283,False,0.26811040556108545,False,0.0,-0.05722887299563245,1.001944866869665,-0.12020132533764383,1
2019-07-03,0.05154371209170683,0.051579911233029296,False,0.05154371209170683,False,0.0,-0.00931063942962043,0.9207739753344387,0.0867922150628686,0
2020-01-03,0.45405402655800886,0.4574319099924393,False,0.45405402655800886,False,0.0,0.19985061166409518,1.2775679428389157,0.20203634107589763,0
2020-07-03,0.48867358460429466,0.4956632583425571,False,0.48867358460429466,False,0.0,-0.016986884436993067,1.3483112414910765,0.28969566640435684,0
2021-01-03,0.5234748071618165,0.5256789186639632,False,0.5234748071618165,False,0.0,0.08805989781628984,1.3050772053982769,0.3709153105449208,0
2021-07-03,-0.07502562726566886,-0.07607704254192071,False,-0.07502562726566886,False,0.0,0.06816410781013635,1.1505447145046228,-0.011370356538951576,0
2022-01-03,-0.0980219456882585,-0.09808567812589664,False,-0.0980219456882585,False,0.0,0.10696594439390314,0.9727995607994108,0.2148762488731515,0
2022-07-03,0.08336529805881354,0.0839031223625113,False,0.08336529805881354,False,0.0,-0.019948680879826416,0.5501325693996472,0.00525180624323851,0
2023-01-03,0.028687887451147365,0.028707816072529146,False,0.028687887451147365,False,0.0,-0.08336201442902942,0.44308768335007714,-0.08389701779595471,0
2023-07-03,0.6535846886928738,0.6518813392894502,False,0.6535846886928738,False,0.0,0.20600718844301658,1.3871734440678931,0.4119667502826898,0
2024-01-03,0.5054444975488084,0.5041830190275465,False,0.5054444975488084,False,0.0,0.00490463718456793,1.8477729354247345,0.010531990660516355,0
2024-07-03,0.20558681547178326,0.20574121184079375,False,0.20558681547178326,False,0.0,0.035301792656394576,1.2449340507739037,0.05045345430631043,0
2025-01-03,0.22066702761259505,0.2215031582728193,False,0.22066702761259505,False,0.0,0.04221063773107992,1.1431619819751249,0.044254352407868014,0
