start,cum1,ann1,br1,cum2,br2,wput,alpha1,beta1,cumH,brH,cum1n,br1n,turnover
2006-01-03,-0.09982944296378315,-0.034472814163343135,False,-0.09982944296378315,False,0.0,0.08177151604153098,1.0969945108391805,-0.09982944296378315,False,-0.10072961352081933,1,1.0
2007-01-03,-0.0028773140511491047,-0.0009624403121000213,False,-0.0028773140511491047,False,0.0,0.06896064962538957,1.0084505575581868,-0.0028773140511491047,False,-0.004472710348667364,0,1.6
2008-01-03,0.21378936484215028,0.06669774798853112,False,0.21378936484215028,False,0.0,0.10687628196056605,1.0438568277998344,0.21378936484215028,False,0.21184730185840284,0,1.6
2010-01-03,0.4210863201889483,0.12436762259130973,False,0.4210863201889483,False,0.0,0.014537193862409781,1.1405165584940555,0.4210863201889483,False,0.4205178856608729,0,0.4
2011-01-03,0.7906246426763499,0.21427097853331678,False,0.7906246426763499,False,0.0,0.06820756866876831,0.882905619233786,0.7906246426763499,False,0.7884758931051383,0,1.2000000000000002
2012-01-03,0.5130504346738778,0.14813299352847187,False,0.5130504346738778,False,0.0,-0.008956208579730934,0.7956137089709145,0.5130504346738778,False,0.5112347741522691,0,1.2000000000000002
2013-01-03,0.9705772560911659,0.25468596445160085,False,0.9705772560911659,False,0.0,0.0900671064585829,1.0858133578757048,0.9705772560911659,False,0.9674243324814198,0,1.6
2014-01-03,0.7820425018959436,0.21232838664477116,False,0.7820425018959436,False,0.0,0.10362540527083806,1.0764537035938269,0.7820425018959436,False,0.7799040508936685,0,1.2000000000000002
2015-01-03,2.7059259949085432,0.5485869308315312,False,2.7059259949085432,False,0.0,0.3191021965733472,1.1996692492485628,2.7059259949085432,False,2.7014788837146533,0,1.2000000000000002
2016-01-03,1.1422808899113246,0.28934066561699634,False,1.1422808899113246,False,0.0,0.17169641799921995,1.3525144571750491,1.1422808899113246,False,1.1388532404874665,0,1.6
2017-01-03,0.7459656508887325,0.20429760986866663,False,0.7459656508887325,False,0.0,0.025082644821002382,1.284657630673008,0.7459656508887325,False,0.7431721058473104,0,1.6
2018-01-03,1.2470573394501403,0.31068885507030686,False,1.2470573394501403,False,0.0,0.14458218882826446,1.1111061647542968,1.2470573394501403,False,1.2434620477070202,0,1.6
2019-01-03,1.071376087418186,0.27466366540870046,False,1.071376087418186,False,0.0,0.028820802251480027,0.8856803283308832,1.071376087418186,False,1.0680618856783166,0,1.6
2020-01-03,0.5592612765159903,0.15955573831220682,False,0.5592612765159903,False,0.0,0.08665912959881812,1.3674291098763445,0.5592612765159903,False,0.5567664584735648,0,1.6
2021-01-03,0.8039543859445051,0.2177135530269414,False,0.8039543859445051,False,0.0,0.09403438005358628,1.4196804618229988,0.8039543859445051,False,0.8025112224357493,0,0.8
2022-01-03,0.9213394369563064,0.24312023406376104,False,0.9213394369563064,False,0.0,0.13769025716169916,1.0757829567021149,0.9213394369563064,False,0.9182652938571763,0,1.6
2023-01-03,0.3683743637240249,0.11028057095503341,False,0.3683743637240249,False,0.0,-0.0014336558788451553,0.45129984950568436,0.3683743637240249,False,0.3661849647420663,0,1.6
